Filesync: 157 Medien prüfen.
Media ID 46: fehlt, status -> missing
Media ID 47: fehlt, status -> missing
Media ID 48: fehlt, status -> missing
Media ID 79: fehlt, status -> missing
Media ID 82: fehlt, status -> missing
Media ID 83: fehlt, status -> missing
Media ID 84: fehlt, status -> missing
Media ID 86: fehlt, status -> missing
Media ID 87: fehlt, status -> missing
Media ID 88: fehlt, status -> missing
Media ID 97: fehlt, status -> missing
Media ID 98: fehlt, status -> missing
Media ID 99: fehlt, status -> missing
Media ID 105: fehlt, status -> missing
Media ID 106: fehlt, status -> missing
Media ID 107: fehlt, status -> missing
Media ID 108: fehlt, status -> missing
Media ID 109: fehlt, status -> missing
Media ID 110: fehlt, status -> missing
Media ID 111: fehlt, status -> missing
Media ID 112: fehlt, status -> missing
Media ID 113: fehlt, status -> missing
Media ID 114: fehlt, status -> missing
Media ID 115: fehlt, status -> missing
Media ID 116: fehlt, status -> missing
Media ID 117: fehlt, status -> missing
Media ID 118: fehlt, status -> missing
Media ID 119: fehlt, status -> missing
Media ID 120: fehlt, status -> missing
Media ID 121: fehlt, status -> missing
Media ID 122: fehlt, status -> missing
Media ID 123: fehlt, status -> missing
Media ID 124: fehlt, status -> missing
Media ID 125: fehlt, status -> missing
Media ID 126: fehlt, status -> missing
Media ID 127: fehlt, status -> missing
Media ID 128: fehlt, status -> missing
Media ID 129: fehlt, status -> missing
Media ID 130: fehlt, status -> missing
Media ID 131: fehlt, status -> missing
Media ID 132: fehlt, status -> missing
Media ID 133: fehlt, status -> missing
Media ID 138: fehlt, status -> missing
Media ID 141: fehlt, status -> missing
Media ID 142: fehlt, status -> missing
Media ID 143: fehlt, status -> missing
Media ID 144: fehlt, status -> missing
Media ID 145: fehlt, status -> missing
Media ID 146: fehlt, status -> missing
Media ID 147: fehlt, status -> missing
Media ID 148: fehlt, status -> missing
Media ID 149: fehlt, status -> missing
Media ID 151: fehlt, status -> missing
Media ID 153: fehlt, status -> missing
Media ID 157: fehlt, status -> missing
Filesync abgeschlossen. total=157, active=0, missing=157, geändert=55
Filesync fertig: total=157, active=0, missing=157, changed=55
