Filesync: 157 Medien prüfen.
Media ID 46: existiert, status -> active
Media ID 47: existiert, status -> active
Media ID 48: existiert, status -> active
Media ID 79: existiert, status -> active
Media ID 82: existiert, status -> active
Media ID 83: existiert, status -> active
Media ID 84: existiert, status -> active
Media ID 86: existiert, status -> active
Media ID 87: existiert, status -> active
Media ID 88: existiert, status -> active
Media ID 97: existiert, status -> active
Media ID 98: existiert, status -> active
Media ID 99: existiert, status -> active
Media ID 105: existiert, status -> active
Media ID 106: existiert, status -> active
Media ID 107: existiert, status -> active
Media ID 108: existiert, status -> active
Media ID 109: existiert, status -> active
Media ID 110: existiert, status -> active
Media ID 111: existiert, status -> active
Media ID 112: existiert, status -> active
Media ID 113: existiert, status -> active
Media ID 114: existiert, status -> active
Media ID 115: existiert, status -> active
Media ID 116: existiert, status -> active
Media ID 117: existiert, status -> active
Media ID 118: existiert, status -> active
Media ID 119: existiert, status -> active
Media ID 120: existiert, status -> active
Media ID 121: existiert, status -> active
Media ID 122: existiert, status -> active
Media ID 123: existiert, status -> active
Media ID 124: existiert, status -> active
Media ID 125: existiert, status -> active
Media ID 126: existiert, status -> active
Media ID 127: existiert, status -> active
Media ID 128: existiert, status -> active
Media ID 129: existiert, status -> active
Media ID 130: existiert, status -> active
Media ID 131: existiert, status -> active
Media ID 132: existiert, status -> active
Media ID 133: existiert, status -> active
Media ID 138: existiert, status -> active
Media ID 141: existiert, status -> active
Media ID 142: existiert, status -> active
Media ID 143: existiert, status -> active
Media ID 144: existiert, status -> active
Media ID 145: existiert, status -> active
Media ID 146: existiert, status -> active
Media ID 147: existiert, status -> active
Media ID 148: existiert, status -> active
Media ID 149: existiert, status -> active
Media ID 151: existiert, status -> active
Media ID 153: existiert, status -> active
Media ID 157: existiert, status -> active
Filesync abgeschlossen. total=157, active=55, missing=102, geändert=55
Filesync fertig: total=157, active=55, missing=102, changed=55
